Southeast.Winds,Northeast.Winds,Abundance,Error,Species
-1.9,-1.95,1.446996643,2.119411413,Bream
-1.85,-1.95,1.446497313,2.085885558,Bream
-1.8,-1.95,1.446353306,1.935665303,Bream
-1.75,-1.95,1.446564621,1.713719131,Bream
-1.7,-1.95,1.447131259,1.799429781,Bream
-1.65,-1.95,1.448053219,1.765064453,Bream
-1.6,-1.95,1.449330502,1.669597821,Bream
-1.55,-1.95,1.450963108,1.755877881,Bream
-1.5,-1.95,1.452951036,1.620074271,Bream
-1.45,-1.95,1.455294287,1.546570035,Bream
-1.4,-1.95,1.457992861,1.401509742,Bream
-1.35,-1.95,1.461046757,1.49656063,Bream
-1.3,-1.95,1.464455975,1.36206849,Bream
-1.25,-1.95,1.468220517,1.271234293,Bream
-1.2,-1.95,1.472340381,1.188382846,Bream
-1.15,-1.95,1.476815568,1.340712399,Bream
-1.1,-1.95,1.481646077,1.135955132,Bream
-1.05,-1.95,1.486831909,1.09741443,Bream
-1,-1.95,1.492373063,1.127093363,Bream
-0.95,-1.95,1.498269541,1.070540718,Bream
-0.9,-1.95,1.50452134,0.961586487,Bream
-0.85,-1.95,1.511128463,0.98506548,Bream
-0.8,-1.95,1.518090908,0.879286333,Bream
-0.75,-1.95,1.525408676,0.896809512,Bream
-0.7,-1.95,1.533081766,0.828061154,Bream
-0.65,-1.95,1.541110179,0.782123787,Bream
-0.6,-1.95,1.549493914,0.809166688,Bream
-0.55,-1.95,1.558232972,0.755028959,Bream
-0.5,-1.95,1.567327353,0.728245692,Bream
-0.45,-1.95,1.576777057,0.691051573,Bream
-0.4,-1.95,1.586582083,0.714364015,Bream
-0.35,-1.95,1.596742431,0.682727663,Bream
-0.3,-1.95,1.607258103,0.658201785,Bream
-0.25,-1.95,1.618129097,0.600861957,Bream
-0.2,-1.95,1.629355413,0.61137529,Bream
-0.15,-1.95,1.640937052,0.566563905,Bream
-0.1,-1.95,1.652874014,0.57004255,Bream
-0.05,-1.95,1.665166299,0.554490241,Bream
0,-1.95,1.677813906,0.525184327,Bream
0.05,-1.95,1.690816835,0.50356557,Bream
0.1,-1.95,1.704175088,0.523679222,Bream
0.15,-1.95,1.717888663,0.521504683,Bream
0.2,-1.95,1.73195756,0.526387476,Bream
0.25,-1.95,1.74638178,0.529844531,Bream
0.3,-1.95,1.761161323,0.515143042,Bream
0.35,-1.95,1.776296189,0.469658837,Bream
0.4,-1.95,1.791786377,0.488962602,Bream
0.45,-1.95,1.807631887,0.544346743,Bream
0.5,-1.95,1.823832721,0.498085885,Bream
0.55,-1.95,1.840388876,0.540958842,Bream
0.6,-1.95,1.857300355,0.497112608,Bream
0.65,-1.95,1.874567156,0.512480237,Bream
0.7,-1.95,1.89218928,0.525812115,Bream
0.75,-1.95,1.910166726,0.508936641,Bream
0.8,-1.95,1.928499496,0.525088606,Bream
0.85,-1.95,1.947187587,0.513733694,Bream
0.9,-1.95,1.966231002,0.52110632,Bream
0.95,-1.95,1.985629738,0.544127938,Bream
1,-1.95,2.005383798,0.514725263,Bream
1.05,-1.95,2.02549318,0.549490513,Bream
1.1,-1.95,2.045957885,0.521794659,Bream
1.15,-1.95,2.066777912,0.485846051,Bream
1.2,-1.95,2.087953262,0.523123826,Bream
1.25,-1.95,2.109483935,0.545474,Bream
1.3,-1.95,2.13136993,0.508611132,Bream
1.35,-1.95,2.153611248,0.493273549,Bream
1.4,-1.95,2.176207889,0.530691224,Bream
1.45,-1.95,2.199159852,0.540175744,Bream
1.5,-1.95,2.222467138,0.557002375,Bream
1.55,-1.95,2.246129746,0.560675243,Bream
1.6,-1.95,2.270147677,0.510255621,Bream
1.65,-1.95,2.294520931,0.586185971,Bream
1.7,-1.95,2.319249507,0.530687574,Bream
1.75,-1.95,2.344333406,0.52726981,Bream
1.8,-1.95,2.369772628,0.552669818,Bream
1.85,-1.95,2.395567172,0.547398042,Bream
1.9,-1.95,2.421717039,0.557629426,Bream
1.95,-1.95,2.448222228,0.546288039,Bream
2,-1.95,2.475082741,0.555053112,Bream
-2,-1.9,1.347842192,2.129454222,Bream
-1.95,-1.9,1.346412348,2.055325067,Bream
-1.9,-1.9,1.345337827,2.052960216,Bream
-1.85,-1.9,1.344618629,1.884091605,Bream
-1.8,-1.9,1.344254753,1.833701335,Bream
-1.75,-1.9,1.3442462,1.628500751,Bream
-1.7,-1.9,1.34459297,1.575121933,Bream
-1.65,-1.9,1.345295062,1.6629004,Bream
-1.6,-1.9,1.346352477,1.553464298,Bream
-1.55,-1.9,1.347765214,1.616384596,Bream
-1.5,-1.9,1.349533274,1.513980778,Bream
-1.45,-1.9,1.351656657,1.425387736,Bream
-1.4,-1.9,1.354135362,1.414194864,Bream
-1.35,-1.9,1.35696939,1.351681049,Bream
-1.3,-1.9,1.360158741,1.293040804,Bream
-1.25,-1.9,1.363703414,1.27806888,Bream
-1.2,-1.9,1.36760341,1.237083552,Bream
-1.15,-1.9,1.371858728,1.106657201,Bream
-1.1,-1.9,1.376469369,1.202434026,Bream
-1.05,-1.9,1.381435333,1.101336723,Bream
-1,-1.9,1.386756619,1.015690605,Bream
-0.95,-1.9,1.392433228,1.049888359,Bream
-0.9,-1.9,1.39846516,1.002639749,Bream
-0.85,-1.9,1.404852414,0.90984359,Bream
-0.8,-1.9,1.41159499,0.941217417,Bream
-0.75,-1.9,1.41869289,0.856571634,Bream
-0.7,-1.9,1.426146112,0.869006472,Bream
-0.65,-1.9,1.433954657,0.821278514,Bream
-0.6,-1.9,1.442118524,0.753488928,Bream
-0.55,-1.9,1.450637714,0.733603563,Bream
-0.5,-1.9,1.459512226,0.663069984,Bream
-0.45,-1.9,1.468742062,0.709260285,Bream
-0.4,-1.9,1.478327219,0.660312193,Bream
-0.35,-1.9,1.4882677,0.630409339,Bream
-0.3,-1.9,1.498563503,0.617439397,Bream
-0.25,-1.9,1.509214629,0.603464317,Bream
-0.2,-1.9,1.520221077,0.541253028,Bream
-0.15,-1.9,1.531582848,0.598997242,Bream
-0.1,-1.9,1.543299941,0.581359301,Bream
-0.05,-1.9,1.555372358,0.53025993,Bream
0,-1.9,1.567800096,0.532196768,Bream
0.05,-1.9,1.580583158,0.488411858,Bream
0.1,-1.9,1.593721542,0.568559427,Bream
0.15,-1.9,1.607215248,0.472231217,Bream
0.2,-1.9,1.621064278,0.455744626,Bream
0.25,-1.9,1.63526863,0.483419714,Bream
0.3,-1.9,1.649828304,0.452061399,Bream
0.35,-1.9,1.664743301,0.495526901,Bream
0.4,-1.9,1.680013621,0.478973922,Bream
0.45,-1.9,1.695639264,0.495896504,Bream
0.5,-1.9,1.711620229,0.488296975,Bream
0.55,-1.9,1.727956516,0.47146191,Bream
0.6,-1.9,1.744648127,0.486651993,Bream
0.65,-1.9,1.76169506,0.452569756,Bream
0.7,-1.9,1.779097315,0.503617191,Bream
0.75,-1.9,1.796854893,0.472947162,Bream
0.8,-1.9,1.814967794,0.510996939,Bream
0.85,-1.9,1.833436018,0.478123814,Bream
0.9,-1.9,1.852259564,0.513321375,Bream
0.95,-1.9,1.871438432,0.490869597,Bream
1,-1.9,1.890972624,0.520470738,Bream
1.05,-1.9,1.910862138,0.515650384,Bream
1.1,-1.9,1.931106974,0.548245908,Bream
1.15,-1.9,1.951707133,0.497082906,Bream
1.2,-1.9,1.972662615,0.518590427,Bream
1.25,-1.9,1.99397342,0.54016317,Bream
1.3,-1.9,2.015639547,0.5088079,Bream
1.35,-1.9,2.037660996,0.534893196,Bream
1.4,-1.9,2.060037769,0.472850401,Bream
1.45,-1.9,2.082769864,0.52383795,Bream
1.5,-1.9,2.105857281,0.527022957,Bream
1.55,-1.9,2.129300021,0.52520671,Bream
1.6,-1.9,2.153098084,0.503891879,Bream
1.65,-1.9,2.17725147,0.510235219,Bream
1.7,-1.9,2.201760178,0.546356381,Bream
1.75,-1.9,2.226624208,0.534873548,Bream
1.8,-1.9,2.251843562,0.492665495,Bream
1.85,-1.9,2.277418238,0.520662243,Bream
1.9,-1.9,2.303348236,0.538698313,Bream
1.95,-1.9,2.329633557,0.495202465,Bream
2,-1.9,2.356274201,0.496912176,Bream
-2,-1.85,1.249422703,1.928606813,Bream
-1.95,-1.85,1.247772991,2.103008635,Bream
-1.9,-1.85,1.246478602,1.793574307,Bream
-1.85,-1.85,1.245539535,1.884216491,Bream
-1.8,-1.85,1.244955791,1.818464666,Bream
-1.75,-1.85,1.24472737,1.882807398,Bream
-1.7,-1.85,1.244854271,1.678708098,Bream
-1.65,-1.85,1.245336495,1.610978445,Bream
-1.6,-1.85,1.246174042,1.613194654,Bream
-1.55,-1.85,1.247366911,1.482966234,Bream
-1.5,-1.85,1.248915103,1.47717485,Bream
-1.45,-1.85,1.250818617,1.459088971,Bream
-1.4,-1.85,1.253077454,1.340389317,Bream
-1.35,-1.85,1.255691614,1.209460937,Bream
-1.3,-1.85,1.258661096,1.271758802,Bream
-1.25,-1.85,1.261985901,1.232656946,Bream
-1.2,-1.85,1.265666029,1.241360807,Bream
-1.15,-1.85,1.269701479,1.165042589,Bream
-1.1,-1.85,1.274092252,1.043091181,Bream
-1.05,-1.85,1.278838347,1.098223988,Bream
-1,-1.85,1.283939765,0.875701797,Bream
-0.95,-1.85,1.289396506,0.965394336,Bream
-0.9,-1.85,1.295208569,0.88044728,Bream
-0.85,-1.85,1.301375955,0.906742156,Bream
-0.8,-1.85,1.307898664,0.890547616,Bream
-0.75,-1.85,1.314776695,0.860165484,Bream
-0.7,-1.85,1.322010049,0.831465479,Bream
-0.65,-1.85,1.329598725,0.748132046,Bream
-0.6,-1.85,1.337542724,0.704622168,Bream
-0.55,-1.85,1.345842046,0.720500308,Bream
-0.5,-1.85,1.35449669,0.664734655,Bream
-0.45,-1.85,1.363506657,0.612395406,Bream
-0.4,-1.85,1.372871946,0.64111969,Bream
-0.35,-1.85,1.382592559,0.578780129,Bream
-0.3,-1.85,1.392668493,0.588974236,Bream
-0.25,-1.85,1.403099751,0.564148064,Bream
-0.2,-1.85,1.413886331,0.617955749,Bream
-0.15,-1.85,1.425028234,0.556566828,Bream
-0.1,-1.85,1.436525459,0.492301852,Bream
-0.05,-1.85,1.448378007,0.473204804,Bream
0,-1.85,1.460585877,0.503416361,Bream
0.05,-1.85,1.473149071,0.488679302,Bream
0.1,-1.85,1.486067586,0.509490666,Bream
0.15,-1.85,1.499341425,0.472488418,Bream
0.2,-1.85,1.512970586,0.47680221,Bream
0.25,-1.85,1.52695507,0.468332289,Bream
0.3,-1.85,1.541294876,0.452325883,Bream
0.35,-1.85,1.555990005,0.462937735,Bream
0.4,-1.85,1.571040456,0.469404372,Bream
0.45,-1.85,1.586446231,0.432416181,Bream
0.5,-1.85,1.602207327,0.466317292,Bream
0.55,-1.85,1.618323747,0.474262134,Bream
0.6,-1.85,1.634795489,0.469937308,Bream
0.65,-1.85,1.651622553,0.42566125,Bream
0.7,-1.85,1.668804941,0.442716042,Bream
0.75,-1.85,1.686342651,0.482099801,Bream
0.8,-1.85,1.704235683,0.428350088,Bream
0.85,-1.85,1.722484038,0.465344908,Bream
0.9,-1.85,1.741087716,0.479165962,Bream
0.95,-1.85,1.760046717,0.493207819,Bream
1,-1.85,1.77936104,0.460640759,Bream
1.05,-1.85,1.799030685,0.508406063,Bream
1.1,-1.85,1.819055654,0.499706537,Bream
1.15,-1.85,1.839435945,0.477983717,Bream
1.2,-1.85,1.860171558,0.459450917,Bream
1.25,-1.85,1.881262494,0.527347767,Bream
1.3,-1.85,1.902708753,0.497373494,Bream
1.35,-1.85,1.924510335,0.500333054,Bream
1.4,-1.85,1.946667239,0.474107042,Bream
1.45,-1.85,1.969179465,0.496131761,Bream
1.5,-1.85,1.992047015,0.480164854,Bream
1.55,-1.85,2.015269887,0.500791964,Bream
1.6,-1.85,2.038848081,0.495605002,Bream
1.65,-1.85,2.062781599,0.528810968,Bream
1.7,-1.85,2.087070438,0.47607474,Bream
1.75,-1.85,2.111714601,0.48641465,Bream
1.8,-1.85,2.136714086,0.50775358,Bream
1.85,-1.85,2.162068894,0.451497554,Bream
1.9,-1.85,2.187779024,0.519468482,Bream
1.95,-1.85,2.213844477,0.527398074,Bream
2,-1.85,2.240265252,0.470813832,Bream
-2,-1.8,1.153802804,2.141402696,Bream
-1.95,-1.8,1.151933224,1.942902007,Bream
-1.9,-1.8,1.150418967,1.850352281,Bream
-1.85,-1.8,1.149260032,1.869841467,Bream
-1.8,-1.8,1.14845642,1.631735097,Bream
-1.75,-1.8,1.14800813,1.645503175,Bream
-1.7,-1.8,1.147915163,1.726999491,Bream
-1.65,-1.8,1.148177519,1.579964637,Bream
-1.6,-1.8,1.148795197,1.555040239,Bream
-1.55,-1.8,1.149768198,1.495607742,Bream
-1.5,-1.8,1.151096522,1.503133086,Bream
-1.45,-1.8,1.152780168,1.285703085,Bream
-1.4,-1.8,1.154819137,1.23792705,Bream
-1.35,-1.8,1.157213428,1.193710006,Bream
-1.3,-1.8,1.159963042,1.240773866,Bream
-1.25,-1.8,1.163067979,1.215940223,Bream
-1.2,-1.8,1.166528238,1.133245401,Bream
-1.15,-1.8,1.17034382,1.135310216,Bream
-1.1,-1.8,1.174514725,1.056393603,Bream
-1.05,-1.8,1.179040952,1.067008796,Bream
-1,-1.8,1.183922502,0.91487469,Bream
-0.95,-1.8,1.189159374,0.951799956,Bream
-0.9,-1.8,1.194751569,0.873000916,Bream
-0.85,-1.8,1.200699087,0.817387287,Bream
-0.8,-1.8,1.207001927,0.823330185,Bream
-0.75,-1.8,1.21366009,0.776397271,Bream
-0.7,-1.8,1.220673575,0.806277728,Bream
-0.65,-1.8,1.228042384,0.718797592,Bream
-0.6,-1.8,1.235766514,0.731153112,Bream
-0.55,-1.8,1.243845968,0.690522814,Bream
-0.5,-1.8,1.252280744,0.638357083,Bream
-0.45,-1.8,1.261070843,0.633192049,Bream
-0.4,-1.8,1.270216264,0.584361557,Bream
-0.35,-1.8,1.279717008,0.553365889,Bream
-0.3,-1.8,1.289573074,0.532927311,Bream
-0.25,-1.8,1.299784464,0.54544076,Bream
-0.2,-1.8,1.310351175,0.508921154,Bream
-0.15,-1.8,1.32127321,0.548508448,Bream
-0.1,-1.8,1.332550567,0.480866911,Bream
-0.05,-1.8,1.344183247,0.451988818,Bream
0,-1.8,1.356171249,0.479995405,Bream
0.05,-1.8,1.368514574,0.467789985,Bream
0.1,-1.8,1.381213221,0.462909771,Bream
0.15,-1.8,1.394267192,0.464095257,Bream
0.2,-1.8,1.407676484,0.441588682,Bream
0.25,-1.8,1.4214411,0.457465113,Bream
0.3,-1.8,1.435561038,0.430280237,Bream
0.35,-1.8,1.450036298,0.449006664,Bream
0.4,-1.8,1.464866882,0.410030446,Bream
0.45,-1.8,1.480052788,0.443426802,Bream
0.5,-1.8,1.495594016,0.438591439,Bream
0.55,-1.8,1.511490567,0.406385582,Bream
0.6,-1.8,1.527742441,0.451397874,Bream
0.65,-1.8,1.544349638,0.45065254,Bream
0.7,-1.8,1.561312157,0.425580749,Bream
0.75,-1.8,1.578629998,0.444132663,Bream
0.8,-1.8,1.596303163,0.44523984,Bream
0.85,-1.8,1.61433165,0.480853699,Bream
0.9,-1.8,1.632715459,0.470460465,Bream
0.95,-1.8,1.651454591,0.443212023,Bream
1,-1.8,1.670549046,0.444992566,Bream
1.05,-1.8,1.689998824,0.461567197,Bream
1.1,-1.8,1.709803924,0.491368907,Bream
1.15,-1.8,1.729964346,0.422786364,Bream
1.2,-1.8,1.750480092,0.478612469,Bream
1.25,-1.8,1.77135116,0.439430178,Bream
1.3,-1.8,1.79257755,0.478037971,Bream
1.35,-1.8,1.814159263,0.477897935,Bream
1.4,-1.8,1.836096299,0.455061724,Bream
1.45,-1.8,1.858388658,0.47264361,Bream
1.5,-1.8,1.881036339,0.475470705,Bream
1.55,-1.8,1.904039342,0.484969241,Bream
1.6,-1.8,1.927397669,0.465908908,Bream
1.65,-1.8,1.951111318,0.485439565,Bream
1.7,-1.8,1.975180289,0.478726755,Bream
1.75,-1.8,1.999604584,0.457144138,Bream
1.8,-1.8,2.0243842,0.51212825,Bream
1.85,-1.8,2.04951914,0.460533834,Bream
1.9,-1.8,2.075009402,0.430438869,Bream
1.95,-1.8,2.100854987,0.45983953,Bream
2,-1.8,2.127055894,0.41747895,Bream
-2,-1.75,1.060982496,1.989156952,Bream
-1.95,-1.75,1.058893048,1.868203587,Bream
-1.9,-1.75,1.057158922,1.879813288,Bream
-1.85,-1.75,1.055780119,1.670156576,Bream
-1.8,-1.75,1.054756639,1.652945336,Bream
-1.75,-1.75,1.054088481,1.653502064,Bream
-1.7,-1.75,1.053775646,1.678179527,Bream
-1.65,-1.75,1.053818133,1.568547271,Bream
-1.6,-1.75,1.054215943,1.560292163,Bream
-1.55,-1.75,1.054969076,1.456677256,Bream
-1.5,-1.75,1.056077531,1.368761198,Bream
-1.45,-1.75,1.057541309,1.17151705,Bream
-1.4,-1.75,1.059360409,1.246778186,Bream
-1.35,-1.75,1.061534833,1.276439239,Bream
-1.3,-1.75,1.064064578,1.17473573,Bream
-1.25,-1.75,1.066949647,1.122604837,Bream
-1.2,-1.75,1.070190038,1.060761931,Bream
-1.15,-1.75,1.073785752,1.124031466,Bream
-1.1,-1.75,1.077736788,1.100032223,Bream
-1.05,-1.75,1.082043147,0.967825264,Bream
-1,-1.75,1.086704828,0.913192293,Bream
-0.95,-1.75,1.091721833,0.876212346,Bream
-0.9,-1.75,1.097094159,0.830428333,Bream
-0.85,-1.75,1.102821809,0.813924999,Bream
-0.8,-1.75,1.108904781,0.811396221,Bream
-0.75,-1.75,1.115343076,0.758270834,Bream
-0.7,-1.75,1.122136693,0.708165683,Bream
-0.65,-1.75,1.129285633,0.693188951,Bream
-0.6,-1.75,1.136789895,0.614102555,Bream
-0.55,-1.75,1.14464948,0.642611517,Bream
-0.5,-1.75,1.152864388,0.587533092,Bream
-0.45,-1.75,1.161434619,0.597214387,Bream
-0.4,-1.75,1.170360172,0.585615171,Bream
-0.35,-1.75,1.179641047,0.516811693,Bream
-0.3,-1.75,1.189277246,0.567085667,Bream
-0.25,-1.75,1.199268767,0.513250915,Bream
-0.2,-1.75,1.20961561,0.489197651,Bream
-0.15,-1.75,1.220317776,0.506813965,Bream
-0.1,-1.75,1.231375265,0.440201217,Bream
-0.05,-1.75,1.242788077,0.453848826,Bream
0,-1.75,1.254556211,0.476987832,Bream
0.05,-1.75,1.266679667,0.423454648,Bream
0.1,-1.75,1.279158447,0.406522417,Bream
0.15,-1.75,1.291992549,0.438719229,Bream
0.2,-1.75,1.305181973,0.417546058,Bream
0.25,-1.75,1.31872672,0.41414991,Bream
0.3,-1.75,1.33262679,0.429302127,Bream
0.35,-1.75,1.346882183,0.410528805,Bream
0.4,-1.75,1.361492898,0.416173573,Bream
0.45,-1.75,1.376458935,0.416527883,Bream
0.5,-1.75,1.391780296,0.415444997,Bream
0.55,-1.75,1.407456979,0.405095278,Bream
0.6,-1.75,1.423488984,0.4140561,Bream
0.65,-1.75,1.439876312,0.404670171,Bream
0.7,-1.75,1.456618963,0.402327844,Bream
0.75,-1.75,1.473716937,0.440437272,Bream
0.8,-1.75,1.491170233,0.409492275,Bream
0.85,-1.75,1.508978851,0.407540658,Bream
0.9,-1.75,1.527142793,0.434743273,Bream
0.95,-1.75,1.545662057,0.417440252,Bream
1,-1.75,1.564536643,0.427386894,Bream
1.05,-1.75,1.583766552,0.455737163,Bream
1.1,-1.75,1.603351784,0.411151692,Bream
1.15,-1.75,1.623292339,0.428693826,Bream
1.2,-1.75,1.643588216,0.416185346,Bream
1.25,-1.75,1.664239415,0.416722512,Bream
1.3,-1.75,1.685245938,0.430249518,Bream
1.35,-1.75,1.706607783,0.438042718,Bream
1.4,-1.75,1.72832495,0.419789086,Bream
1.45,-1.75,1.75039744,0.425286707,Bream
1.5,-1.75,1.772825253,0.428708757,Bream
1.55,-1.75,1.795608389,0.455017627,Bream
1.6,-1.75,1.818746847,0.445368928,Bream
1.65,-1.75,1.842240627,0.437924829,Bream
1.7,-1.75,1.866089731,0.441654079,Bream
1.75,-1.75,1.890294157,0.433857329,Bream
1.8,-1.75,1.914853905,0.458820394,Bream
1.85,-1.75,1.939768976,0.422762916,Bream
1.9,-1.75,1.96503937,0.419944607,Bream
1.95,-1.75,1.990665087,0.443516575,Bream
2,-1.75,2.016646126,0.437769116,Bream
-2,-1.7,0.970961778,1.945597791,Bream
-1.95,-1.7,0.968652462,1.977896942,Bream
-1.9,-1.7,0.966698468,1.84715771,Bream
-1.85,-1.7,0.965099797,1.701993824,Bream
-1.8,-1.7,0.963856448,1.716786837,Bream
-1.75,-1.7,0.962968422,1.606140309,Bream
-1.7,-1.7,0.962435718,1.557871024,Bream
-1.65,-1.7,0.962258337,1.56576788,Bream
-1.6,-1.7,0.962436279,1.437869447,Bream
-1.55,-1.7,0.962969544,1.406324254,Bream
-1.5,-1.7,0.963858131,1.362433822,Bream
-1.45,-1.7,0.96510204,1.342794857,Bream
-1.4,-1.7,0.966701273,1.175216373,Bream
-1.35,-1.7,0.968655828,1.234087162,Bream
-1.3,-1.7,0.970965705,1.207809779,Bream
-1.25,-1.7,0.973630905,1.078857904,Bream
-1.2,-1.7,0.976651428,1.103457178,Bream
-1.15,-1.7,0.980027274,0.995587676,Bream
-1.1,-1.7,0.983758442,1.010028187,Bream
-1.05,-1.7,0.987844932,0.91455829,Bream
-1,-1.7,0.992286746,0.946011333,Bream
-0.95,-1.7,0.997083882,0.841089129,Bream
-0.9,-1.7,1.00223634,0.811997419,Bream
-0.85,-1.7,1.007744121,0.768028308,Bream
-0.8,-1.7,1.013607225,0.797332271,Bream
-0.75,-1.7,1.019825651,0.788168364,Bream
-0.7,-1.7,1.026399401,0.661685154,Bream
-0.65,-1.7,1.033328472,0.654718178,Bream
-0.6,-1.7,1.040612867,0.624881558,Bream
-0.55,-1.7,1.048252583,0.602127019,Bream
-0.5,-1.7,1.056247623,0.589884721,Bream
-0.45,-1.7,1.064597985,0.563669535,Bream
-0.4,-1.7,1.07330367,0.535133924,Bream
-0.35,-1.7,1.082364677,0.523407794,Bream
-0.3,-1.7,1.091781007,0.498137798,Bream
-0.25,-1.7,1.10155266,0.481876867,Bream
-0.2,-1.7,1.111679635,0.453355283,Bream
-0.15,-1.7,1.122161933,0.435060469,Bream
-0.1,-1.7,1.132999554,0.434117074,Bream
-0.05,-1.7,1.144192497,0.420055658,Bream
0,-1.7,1.155740763,0.422188627,Bream
0.05,-1.7,1.167644351,0.428299288,Bream
0.1,-1.7,1.179903262,0.418501064,Bream
0.15,-1.7,1.192517496,0.38671826,Bream
0.2,-1.7,1.205487052,0.366836629,Bream
0.25,-1.7,1.218811931,0.395441219,Bream
0.3,-1.7,1.232492133,0.355269188,Bream
0.35,-1.7,1.246527657,0.38346219,Bream
0.4,-1.7,1.260918504,0.377491521,Bream
0.45,-1.7,1.275664673,0.389207338,Bream
0.5,-1.7,1.290766165,0.391612023,Bream
0.55,-1.7,1.30622298,0.405468397,Bream
0.6,-1.7,1.322035117,0.377256035,Bream
0.65,-1.7,1.338202577,0.405126647,Bream
0.7,-1.7,1.35472536,0.389580091,Bream
0.75,-1.7,1.371603465,0.420143253,Bream
0.8,-1.7,1.388836893,0.3864134,Bream
0.85,-1.7,1.406425643,0.411772353,Bream
0.9,-1.7,1.424369716,0.410918606,Bream
0.95,-1.7,1.442669112,0.401444586,Bream
1,-1.7,1.46132383,0.436099797,Bream
1.05,-1.7,1.480333871,0.431574839,Bream
1.1,-1.7,1.499699235,0.435764727,Bream
1.15,-1.7,1.519419921,0.409085945,Bream
1.2,-1.7,1.53949593,0.409315825,Bream
1.25,-1.7,1.559927261,0.406170355,Bream
1.3,-1.7,1.580713915,0.411294405,Bream
1.35,-1.7,1.601855892,0.436004313,Bream
1.4,-1.7,1.623353191,0.418356902,Bream
